UNIPROT	HPF_SEQ	HPF_PROT
P47624	27409	1710034
P47514	27292	1710035
P47516	27294	1710036
P47515	27293	1710037
P47692	6328152	1710038
P47323	27093	1710039
P47324	27094	1710040
P47325	27095	1710041
P47326	27096	1710042
Q49429	27412	1710043
P47532	27309	1710044
Q49417	27338	1710045
Q49410	27308	1710046
P47459	27235	1710047
P47533	27310	1710048
P47706	27494	1710049
P47446	27220	1710050
P47445	27219	1710051
P47429	27200	1710052
P47542	27320	1710053
P47360	27130	1710054
P47266	27034	1710055
P47355	1697371	1710056
Q49402	27230	1710057
Q49427	27393	1710058
P47489	27265	1710059
P47288	27056	1710060
P47289	27057	1710061
P47290	27058	1710062
P47354	27124	1710063
P47374	27144	1710064
P47492	27268	1710065
P47651	27437	1710066
P47650	27436	1710067
P47668	27453	1710068
P47541	27319	1710069
P47308	27078	1710070
P47315	27085	1710071
P47287	27055	1710072
P47329	27099	1710073
P47672	27458	1710074
P47389	27159	1710075
Q49435	27465	1710076
P47581	27362	1710077
Q49422	27376	1710078
P47500	27277	1710079
P47391	27161	1710080
P47473	27250	1710081
P47471	27248	1710082
P36263	27385	1710083
P47327	27097	1710084
P47657	27442	1710085
P47407	27178	1710086
P47415	27186	1710087
P47404	27175	1710088
P47424	27195	1710089
P47413	27184	1710090
P47682	27467	1710091
P47328	27098	1710092
P47440	27214	1710093
P47474	27251	1710094
P47402	27173	1710095
P47399	27170	1710096
P47408	27179	1710097
P47476	27253	1710098
P47665	27450	1710099
P47405	27176	1710100
P47400	27171	1710101
P47499	27276	1710102
P47603	27387	1710103
P47567	27347	1710104
Q9ZB82	27070	1710105
P47704	27489	1710106
P47439	27213	1710107
P47420	27191	1710108
P47397	27168	1710109
P47398	27169	1710110
P47409	27180	1710111
P47412	27183	1710112
P36255	27386	1710113
P47339	27109	1710114
P47607	27392	1710115
P47385	27155	1710116
P47303	27073	1710117
P47703	27488	1710118
P47350	27120	1710119
P47376	27146	1710120
P47358	27128	1710121
P47636	27422	1710122
P47423	27194	1710123
P47583	27364	1710124
P47582	27363	1710125
P47268	27036	1710126
P47673	27459	1710127
P47396	27167	1710128
P47422	27193	1710129
P47333	27103	1710130
P47421	27192	1710131
P47410	27181	1710132
P47663	27448	1710133
P47684	27469	1710134
P47406	27177	1710135
P47338	27108	1710136
P47401	27172	1710137
P55750	27388	1710138
P57085	27495	1710139
P47316	27086	1710140
P47403	27174	1710141
P47553	27331	1710142
P47414	27185	1710143
P47336	27106	1710144
P47334	27104	1710145
P47411	27182	1710146
P47656	27441	1710147
P47356	27126	1710148
P47701	27486	1710149
P47620	27405	1710150
P47464	27241	1710151
P47302	27072	1710152
Q49424	1706971	1710153
Q49425	27383	1710154
Q9ZB76	27311	1710155
P47455	27231	1710156
P47456	27232	1710157
P47318	27088	1710158
P58061	334610	1710159
P47416	27187	1710160
P47491	27267	1710161
P47540	27318	1710162
P47520	27298	1710163
P47294	27062	1710164
P47337	27107	1710165
P47305	27075	1710166
P47534	27312	1710167
P47495	27271	1710168
P47282	27050	1710169
P47700	27485	1710170
P47436	27210	1710171
P47437	27211	1710172
P47493	27269	1710173
P47281	27049	1710174
P47587	27368	1710175
P47382	27152	1710176
P47508	27286	1710177
P47267	27035	1710178
P47359	27129	1710179
P47525	27303	1710180
P47618	27403	1710181
P47251	27019	1710182
P47615	27400	1710183
P47576	27355	1710184
P47372	27142	1710185
P47693	2655527	1710186
Q49434	27461	1710187
P47612	27397	1710188
P47370	27140	1710189
P47480	27257	1710190
P47330	27100	1710191
P47312	27082	1710192
P47368	27138	1710193
P47670	27455	1710194
P47589	27370	1710195
P47683	27468	1710196
P47588	27369	1710197
P47428	27199	1710198
P47348	27118	1710199
P47297	27065	1710200
P47469	27246	1710201
P47343	27113	1710202
P47276	27044	1710203
P47622	27407	1710204
P47660	1534111	1710205
P47319	27089	1710206
P47448	27222	1710207
P47486	27262	1710208
P47253	27021	1710209
P47255	27023	1710210
P47256	27024	1710211
P47257	27025	1710212
P47258	27026	1710213
P47260	27028	1710214
P47261	27029	1710215
P47264	2655546	1710216
P47271	27039	1710217
P47273	27041	1710218
P47274	27042	1710219
P47275	27043	1710220
P47278	27046	1710221
P47283	27051	1710222
P47285	27053	1710223
P47286	27054	1710224
P47291	27059	1710225
Q9ZB81	27071	1710226
P47301	27069	1710227
P47306	27076	1710228
P47307	27077	1710229
P47310	27080	1710230
P47311	27081	1710231
P47313	27083	1710232
P47314	27084	1710233
P47320	27090	1710234
P47321	27091	1710235
P47322	27092	1710236
P47341	27111	1710237
P47342	27112	1710238
P47344	27114	1710239
P47347	27117	1710240
P47349	27119	1710241
P47351	27121	1710242
P47361	27131	1710243
P47362	27132	1710244
P47363	27133	1710245
P47365	27135	1710246
P47366	27136	1710247
P47367	27137	1710248
P47369	27139	1710249
P47371	27141	1710250
P47373	27143	1710251
Q49397	27145	1710252
P47377	27147	1710253
P47379	1605913	1710254
P47380	27150	1710255
P47381	27151	1710256
P47386	27156	1710257
Q2MHT0	920491	1710258
P47390	27160	1710259
Q49399	27162	1710260
P47393	27163	1710261
P47394	27164	1710262
Q9ZB80	27166	1710263
P47395	27165	1710264
P47427	27198	1710265
Q49400	27201	1710266
P47431	27202	1710267
P47432	27203	1710268
P47433	27204	1710269
P47434	27205	1710270
P47435	1732222	1710271
P47441	27215	1710272
P47444	27218	1710273
P47449	1464004	1710274
P47450	27224	1710275
P47451	27225	1710276
P56723	27227	1710277
P47453	27228	1710278
Q9ZB78	27237	1710279
P47461	27238	1710280
Q49403	27239	1710281
P47465	27242	1710282
P47467	27244	1710283
P47468	27245	1710284
P47475	27252	1710285
P47478	27255	1710286
P47479	27256	1710287
P47482	27259	1710288
P47483	27260	1710289
P47484	27261	1710290
P47485	3701210	1710291
P47488	27264	1710292
P47490	27266	1710293
P47494	27270	1710294
Q9ZB77	27274	1710295
P47497	27273	1710296
P47498	27275	1710297
Q49404	27278	1710298
P47502	27279	1710299
P47505	27283	1710300
P47507	27285	1710301
P47509	27287	1710302
P47510	27288	1710303
Q49329	920335	1710304
Q49407	27289	1710305
Q49409	27297	1710306
P47521	27299	1710307
P47522	1631224	1710308
P47523	27301	1710309
P47526	27304	1710310
P47527	27305	1710311
P47528	27306	1710312
P47530	1710879	1710313
P47535	27313	1710314
Q49411	27314	1710315
P47538	27316	1710316
P47544	27322	1710317
P47545	27323	1710318
P47546	27324	1710319
P47548	27326	1710320
P47549	27327	1710321
P52271	27328	1710322
P47551	27329	1710323
Q49414	27333	1710324
Q49415	27334	1710325
Q49416	27335	1710326
P47558	27336	1710327
P47561	27339	1710328
P47562	27340	1710329
P47563	27342	1710330
P47564	27343	1710331
Q9ZB74	27345	1710332
P47565	27344	1710333
P47568	27348	1710334
Q49419	27350	1710335
P47573	27353	1710336
P47574	27354	1710337
Q49310	27357	1710338
Q9ZB73	27358	1710339
P47579	27360	1710340
P47580	27361	1710341
P47584	27365	1710342
P47585	27366	1710343
P47590	27371	1710344
P47591	27372	1710345
Q9ZB72	27374	1710346
P47592	27373	1710347
P47595	27377	1710348
P47596	27378	1710349
Q49423	27380	1710350
Q49426	27384	1710351
P47604	27389	1710352
P47606	27391	1710353
P47609	27394	1710354
P47610	27395	1710355
Q49428	27396	1710356
P47613	27398	1710357
P47614	27399	1710358
P47616	27401	1710359
P47617	27402	1710360
P47621	27406	1710361
Q9ZB71	27410	1710362
P47625	27411	1710363
P47629	27415	1710364
Q49430	27416	1710365
P47635	27421	1710366
P47637	27423	1710367
Q49431	27432	1710368
P47649	27435	1710369
P47652	27438	1710370
P47653	27439	1710371
P47655	2655545	1710372
P47661	27446	1710373
P47662	27447	1710374
P47664	27449	1710375
P47666	27451	1710376
P47667	27452	1710377
Q49432	27456	1710378
P47677	27462	1710379
P47678	1674240	1710380
P47679	27464	1710381
P47681	27466	1710382
P47685	27470	1710383
P47687	1588401	1710384
P47688	27473	1710385
P47690	27475	1710386
P47694	27479	1710387
Q49436	27482	1710388
P47699	27484	1710389
P47705	27490	1710390
Q9ZB70	27492	1710391
Q49460	27491	1710392
P47628	2655531	1710393
P47270	27038	1710394
P47378	27148	1710395
P47702	27487	1710396
